iter	Passed	Remaining
241	526	1649
242	527	1643
243	528	1637
244	529	1631
245	530	1626
246	531	1621
247	533	1616
248	534	1611
249	535	1605
250	536	1599
251	537	1594
252	538	1588
253	539	1583
254	540	1577
255	541	1572
256	542	1567
257	543	1561
258	544	1556
259	545	1551
260	546	1546
261	547	1541
262	548	1537
263	549	1532
264	550	1527
265	551	1522
266	552	1517
267	553	1512
268	554	1507
269	555	1502
270	556	1497
271	557	1492
272	558	1487
273	559	1483
274	560	1478
275	561	1473
276	562	1468
277	563	1464
278	564	1459
279	566	1455
280	567	1450
281	568	1446
282	568	1441
283	570	1437
284	571	1433
285	572	1428
286	573	1424
287	574	1419
288	575	1415
289	576	1410
290	577	1406
291	578	1403
292	579	1398
293	580	1394
294	581	1389
295	582	1385
296	583	1381
297	584	1377
298	585	1373
299	586	1369
300	587	1365
301	588	1360
302	590	1357
303	591	1353
304	592	1349
305	593	1345
306	594	1340
307	595	1336
308	596	1333
309	597	1329
310	598	1325
311	599	1322
312	600	1318
313	601	1314
314	602	1310
315	603	1306
316	604	1303
317	605	1299
318	606	1295
319	607	1291
320	608	1287
321	609	1284
322	610	1280
323	611	1276
324	612	1272
325	613	1268
326	614	1264
327	615	1261
328	616	1257
329	617	1253
330	618	1249
331	619	1246
332	620	1242
333	621	1239
334	622	1235
335	623	1232
336	624	1228
337	625	1224
338	626	1221
339	627	1217
340	628	1214
341	629	1211
342	630	1207
343	631	1204
344	632	1200
345	633	1197
346	634	1194
347	635	1191
348	636	1187
349	637	1183
350	638	1180
351	639	1177
352	640	1174
353	641	1170
354	642	1167
355	643	1164
356	644	1160
357	645	1157
358	646	1154
359	647	1151
360	648	1148
361	649	1144
362	650	1141
363	651	1138
364	652	1135
365	653	1132
366	654	1129
367	655	1126
368	656	1122
369	657	1119
370	658	1116
371	659	1113
372	660	1109
373	661	1106
374	662	1103
375	663	1100
376	664	1097
377	664	1094
378	666	1091
379	667	1088
380	668	1086
381	669	1082
382	670	1080
383	671	1077
384	672	1074
385	673	1071
386	674	1068
387	675	1065
388	676	1062
389	677	1059
390	678	1057
391	679	1054
392	680	1051
393	681	1048
394	682	1046
395	684	1043
396	685	1040
397	686	1038
398	687	1035
399	688	1032
400	689	1029
401	690	1027
402	691	1024
403	692	1021
404	693	1018
405	694	1016
406	695	1013
407	696	1010
408	697	1008
409	698	1005
410	699	1002
411	700	999
412	701	997
413	702	994
414	703	992
415	704	989
416	706	987
417	707	984
418	708	982
419	709	979
420	710	977
421	711	974
422	712	971
423	713	969
424	714	966
425	715	964
426	716	961
427	717	959
428	718	956
429	719	953
430	720	951
431	721	948
432	722	946
433	723	943
434	724	941
435	725	938
436	726	936
437	727	934
438	729	931
439	730	929
440	730	926
441	731	923
442	732	921
443	733	919
444	734	916
445	735	914
446	736	911
447	737	909
448	738	906
449	739	904
450	740	901
451	741	899
452	742	896
453	743	894
454	744	891
455	745	889
456	746	886
457	747	884
458	748	882
459	749	880
460	750	877
461	751	875
